packet_count,total_bytes,avg_packet_size,std_packet_size,min_packet_size,max_packet_size,window_duration,avg_inter_arrival,std_inter_arrival,tcp_ratio,udp_ratio,unique_src_ports,unique_dst_ports,bytes_per_second,packets_per_second,burst_ratio,label,file_source,window_id
101,0,0.0,0.0,0,0,1.4979908466339111,0.014979908466339112,0.07276097720700804,1.0,0.0,5,5,0.0,67.42364295947067,0.96,1,reels_01,66
73,0,0.0,0.0,0,0,2.954967975616455,0.04104122188356188,0.1277276219361807,1.0,0.0,5,5,0.0,24.70415943670963,0.8888888888888888,1,reels_01,67
39,0,0.0,0.0,0,0,2.0373079776763916,0.053613367833589255,0.1935644341964891,1.0,0.0,4,4,0.0,19.142908400368913,0.9210526315789473,1,reels_01,68
1397,0,0.0,0.0,0,0,2.8762929439544678,0.0020603817650103637,0.020104007988515426,1.0,0.0,6,6,0.0,485.69461707170075,0.9978510028653295,1,reels_01,69
38,0,0.0,0.0,0,0,2.9735159873962402,0.08036529695665515,0.34338052287690257,1.0,0.0,4,4,0.0,12.779484005154016,0.918918918918919,1,reels_01,70
61,0,0.0,0.0,0,0,2.814708948135376,0.046911815802256264,0.09793909209888055,1.0,0.0,7,7,0.0,21.671867722028555,0.85,1,reels_01,71
18,0,0.0,0.0,0,0,2.830127000808716,0.16647805887110093,0.5177725760979955,1.0,0.0,3,3,0.0,6.360138606803319,0.8235294117647058,1,reels_01,72
65,0,0.0,0.0,0,0,2.9988958835601807,0.04685774818062782,0.16032834396320977,1.0,0.0,4,4,0.0,21.674643776840412,0.9375,1,reels_01,73
99,0,0.0,0.0,0,0,2.792750835418701,0.02849745750427246,0.11345858306589122,1.0,0.0,6,6,0.0,35.4489196617347,0.9387755102040817,1,reels_01,74
1183,0,0.0,0.0,0,0,2.9762120246887207,0.002517945875371168,0.021687438708961757,1.0,0.0,9,9,0.0,397.4851220902949,0.9966159052453468,1,reels_01,75
102,0,0.0,0.0,0,0,2.873333215713501,0.028448843719935654,0.062322002312236384,1.0,0.0,5,5,0.0,35.49884136033681,0.900990099009901,1,reels_01,76
106,0,0.0,0.0,0,0,2.409919023513794,0.02295160974775042,0.04343933359144485,1.0,0.0,6,6,0.0,43.984880390481415,0.9142857142857143,1,reels_01,77
45,0,0.0,0.0,0,0,2.985320806503296,0.06784820014780218,0.22322527762154926,1.0,0.0,4,4,0.0,15.073756864579144,0.8636363636363636,1,reels_01,78
1964,0,0.0,0.0,0,0,2.8761630058288574,0.00146518747113034,0.013392468415011986,1.0,0.0,7,7,0.0,682.8542040279846,0.9984717269485481,1,reels_01,79
